genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
A Capella,Glad,Alleluia,6jQW2mv8jDLVMDhA2nyxCh,4,0.9,0.15,245520,0.165,0.000133,D,0.114,-14.629,Major,0.0398,74.767,4/4,0.213
A Capella,MC6 A Cappella,Goodnight Sweetheart,7dv7qZnNL5ihfvDRG699Xy,23,0.83,0.628,144867,0.299,0.0,G,0.31,-9.483,Major,0.0473,135.896,1/4,0.557
A Capella,Glad,A Debtor to Mercy Alone,6TK4I15u1oym5H2eETng4F,24,0.599,0.389,181267,0.153,0.0,E,0.0902,-12.023,Major,0.043,120.626,4/4,0.236
A Capella,The Singers Unlimited,Someone to Light Up My Life,632qnTWDS01aFib76c2eQA,4,0.948,0.263,203827,0.126,2.26e-06,G,0.197,-15.022,Minor,0.0345,88.848,4/4,0.0727
A Capella,The King's Singers,What Child Is This?,6GXmsVu84UPRYohKOGJVku,10,0.977,0.276,197507,0.0896,0.00172,D#,0.0917,-25.28,Minor,0.0413,90.377,4/4,0.156
A Capella,The Singers Unlimited,Yesterday,7v9iefVyxqhEJlOHfTdEX5,7,0.99,0.157,202567,0.0252,0.0154,A,0.105,-22.447,Minor,0.0392,181.714,3/4,0.152
A Capella,The Singers Unlimited,Emily,2t2owImD0FSTqL8vxsw86H,13,0.98,0.172,239784,0.0695,5.77e-05,G,0.1,-19.459,Minor,0.0324,85.813,3/4,0.0611
A Capella,The Singers Unlimited,"Here, There and Everywhere",4K2JGJXrYVq83aoa59x7Xw,10,0.984,0.261,173732,0.0735,2.47e-05,G,0.084,-17.343,Major,0.0345,167.661,4/4,0.187
A Capella,Hyannis Sound,Easy,6FaboX3lY9iB4jpNWKrP3c,1,0.427,0.548,245960,0.465,0.0,A#,0.123,-7.453,Minor,0.0357,128.773,4/4,0.332
A Capella,Peter Hollens,December Song (A Capella Bonus Track),6ErNbBNEpZcg3Pjboi8R7j,20,0.863,0.253,238039,0.417,6.33e-06,F#,0.0974,-3.561,Major,0.0287,143.374,3/4,0.208
A Capella,The King's Singers,Santa Claus Is Coming to Town,1MwYsCfqxcVBS4Ch1NIObw,10,0.878,0.656,174000,0.216,0.0,C,0.375,-13.451,Major,0.0868,120.282,4/4,0.502
A Capella,The King's Singers,Jingle Bells,25PqkhPZtMOUOrtYkAiNf7,9,0.991,0.572,89947,0.226,1.18e-06,E,0.139,-22.879,Major,0.0922,79.291,4/4,0.683
A Capella,MC6 A Cappella,For the Longest Time,0PuWvFJqZPJAxZNrFgw8xL,44,0.78,0.616,223813,0.298,0.0,D,0.0973,-7.712,Major,0.0274,82.471,4/4,0.712
