track_id,track_name,artists,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,year
6jQW2mv8jDLVMDhA2nyxCh,Alleluia,Glad,4,245520,0.15,0.165,D,-14.629,Major,0.0398,0.9,0.000133,0.114,0.213,74.767,A Capella,
7dv7qZnNL5ihfvDRG699Xy,Goodnight Sweetheart,MC6 A Cappella,23,144867,0.628,0.299,G,-9.483,Major,0.0473,0.83,0.0,0.31,0.557,135.896,A Capella,
6TK4I15u1oym5H2eETng4F,A Debtor to Mercy Alone,Glad,24,181267,0.389,0.153,E,-12.023,Major,0.043,0.599,0.0,0.0902,0.236,120.626,A Capella,
632qnTWDS01aFib76c2eQA,Someone to Light Up My Life,The Singers Unlimited,4,203827,0.263,0.126,G,-15.022,Minor,0.0345,0.948,2.26e-06,0.197,0.0727,88.848,A Capella,
6GXmsVu84UPRYohKOGJVku,What Child Is This?,The King's Singers,10,197507,0.276,0.0896,D#,-25.28,Minor,0.0413,0.977,0.00172,0.0917,0.156,90.377,A Capella,
7v9iefVyxqhEJlOHfTdEX5,Yesterday,The Singers Unlimited,7,202567,0.157,0.0252,A,-22.447,Minor,0.0392,0.99,0.0154,0.105,0.152,181.714,A Capella,
2t2owImD0FSTqL8vxsw86H,Emily,The Singers Unlimited,13,239784,0.172,0.0695,G,-19.459,Minor,0.0324,0.98,5.77e-05,0.1,0.0611,85.813,A Capella,
4K2JGJXrYVq83aoa59x7Xw,"Here, There and Everywhere",The Singers Unlimited,10,173732,0.261,0.0735,G,-17.343,Major,0.0345,0.984,2.47e-05,0.084,0.187,167.661,A Capella,
6FaboX3lY9iB4jpNWKrP3c,Easy,Hyannis Sound,1,245960,0.548,0.465,A#,-7.453,Minor,0.0357,0.427,0.0,0.123,0.332,128.773,A Capella,
6ErNbBNEpZcg3Pjboi8R7j,December Song (A Capella Bonus Track),Peter Hollens,20,238039,0.253,0.417,F#,-3.561,Major,0.0287,0.863,6.33e-06,0.0974,0.208,143.374,A Capella,
1MwYsCfqxcVBS4Ch1NIObw,Santa Claus Is Coming to Town,The King's Singers,10,174000,0.656,0.216,C,-13.451,Major,0.0868,0.878,0.0,0.375,0.502,120.282,A Capella,
25PqkhPZtMOUOrtYkAiNf7,Jingle Bells,The King's Singers,9,89947,0.572,0.226,E,-22.879,Major,0.0922,0.991,1.18e-06,0.139,0.683,79.291,A Capella,
0PuWvFJqZPJAxZNrFgw8xL,For the Longest Time,MC6 A Cappella,44,223813,0.616,0.298,D,-7.712,Major,0.0274,0.78,0.0,0.0973,0.712,82.471,A Capella,
7FPztxLwuZqwvQ9E57jbBy,Anything Goes,The Singers Unlimited,4,212760,0.461,0.154,F,-14.808,Major,0.0399,0.923,1.33e-06,0.261,0.553,137.518,A Capella,
0m8ZjsRZYRQlj7gpp9x1QI,Surfer Girl,MC6 A Cappella,18,174320,0.524,0.298,G#,-9.789,Major,0.0254,0.69,0.0,0.315,0.543,94.508,A Capella,
01nmLTTJW6QARRi0AaaJOc,The Christmas Song (Merry Christmas to You),The Swingle Singers,9,194347,0.71,0.34,B,-19.158,Minor,0.0437,0.859,0.000457,0.114,0.389,130.014,A Capella,
3rAyathx1VKaUel80vh1g0,All the Things You Are,The Singers Unlimited,8,225850,0.243,0.0622,B,-19.874,Minor,0.0383,0.977,0.0566,0.0907,0.038,134.759,A Capella,
3Z0yXxX0Id4zFNWkVKFjFl,April in Paris,The Singers Unlimited,6,190572,0.234,0.0932,A#,-17.609,Minor,0.0336,0.974,0.000282,0.114,0.0384,123.619,A Capella,
0xbrLsMvYqboUQgNhdP77s,Cry Me a River,The King's Singers,1,201040,0.259,0.0525,A#,-21.525,Minor,0.0352,0.956,0.000205,0.113,0.0775,107.431,A Capella,
0ENyD2LlUqIqzILaWaXN8Y,"All Glory, Laud and Honor",Glad,7,234707,0.171,0.185,A,-13.997,Major,0.0306,0.914,0.0,0.162,0.189,76.832,A Capella,
21mQiZt0PNxJw6RQFtlAoi,409/Little Deuce Coupe,MC6 A Cappella,20,211133,0.55,0.448,G#,-7.921,Major,0.0655,0.782,0.0,0.0657,0.891,115.038,A Capella,
4Rn9UJHp3SdppLr5U8HYlW,Blessed Be Your Name,Glad,10,248080,0.706,0.559,G,-7.662,Major,0.0612,0.574,0.0,0.0949,0.653,119.976,A Capella,
6MsBT9RvRMuRldZpYXRGYg,The Little Drummer Boy,The King's Singers,10,165507,0.297,0.018,E,-29.368,Major,0.0384,0.992,4.6e-05,0.117,0.039,119.451,A Capella,
3epS64XtnJEsWVmD4MGpo8,The Fool On the Hill,The Singers Unlimited,15,271735,0.291,0.0979,F,-17.929,Major,0.0302,0.971,0.00961,0.151,0.113,110.908,A Capella,
3r9nIjOWziM9HZnWA0vWV8,Star Wars: A Capella Strikes Back,BYU Noteworthy,15,241350,0.313,0.405,B,-7.401,Major,0.0325,0.703,0.00914,0.0957,0.291,95.254,A Capella,
4T0MhF3l1r8GGjVu9D68LG,O Sacred Head Now Wounded,Glad,10,167760,0.315,0.187,B,-9.709,Minor,0.0284,0.793,0.0,0.225,0.19,80.885,A Capella,
5MGuzelumWnTfIqtG4whf4,Just As I Am,Glad,6,174827,0.315,0.0817,G,-14.046,Major,0.0331,0.909,0.0,0.18,0.319,137.341,A Capella,
7307wo13OdM2bjMSbqE6o2,Santa Baby,The Swingle Singers,9,192400,0.72,0.12,C#,-18.935,Major,0.0676,0.915,0.0,0.0832,0.302,90.103,A Capella,
0FXAP0YeMzfgPQpLp5ZTOv,December Song [Bonus Track] - A Capella,Peter Hollens,18,238053,0.185,0.394,F#,-3.555,Major,0.0324,0.861,5.08e-06,0.0949,0.191,45.957,A Capella,
2QBS34J7bb2s65qKJ7GAEZ,Autumn in New York,The Singers Unlimited,10,169849,0.234,0.094,G,-17.571,Minor,0.031,0.984,3.47e-05,0.0858,0.107,140.817,A Capella,
3dAOzj0Yb3hHD6sllOKtZR,Use Somebody,Hyannis Sound,2,228307,0.513,0.524,C,-6.999,Major,0.0284,0.434,0.0,0.242,0.559,138.067,A Capella,
1Pizfi5QnasLcV1nCfjV3l,Falling Slowly,Hyannis Sound,1,261760,0.205,0.234,C,-9.044,Major,0.0296,0.929,0.0,0.0963,0.0653,145.385,A Capella,
6kYfnFjxQYx2WkBW5jIiiI,Sherry,MC6 A Cappella,23,150027,0.654,0.427,A#,-7.963,Major,0.0379,0.36,0.0,0.15,0.811,125.39,A Capella,
1uooaC1KFcxzYbiHpbP0hi,All Hail the Power of Jesus' Name,Glad,10,177640,0.487,0.263,G#,-9.489,Major,0.0334,0.733,0.0,0.233,0.557,143.268,A Capella,
16Tq5k2t9XaxWAvICDscHM,Walking in the Air,The Swingle Singers,11,202227,0.353,0.0728,D,-18.865,Minor,0.0337,0.975,0.000742,0.106,0.0858,99.788,A Capella,
6NqmBUATHS25mastXwA94Y,I Don't Know Where I Stand,The Singers Unlimited,5,207760,0.18,0.0674,A#,-18.92,Minor,0.0332,0.976,0.00361,0.104,0.0665,78.818,A Capella,
3niXFa4G32F7hsNIsRvn3y,Michelle,The Singers Unlimited,15,228853,0.275,0.043,D,-21.241,Minor,0.0323,0.984,1.41e-06,0.165,0.0395,101.729,A Capella,
7hSLYMzlrLdQdpgjOhmHBw,Sing it A Cappella,Glad,7,215333,0.51,0.326,F,-11.754,Major,0.0285,0.771,0.0,0.12,0.418,142.402,A Capella,
0PCgsZKSCmsDlHBXRTdejp,O Wondrous Love,Glad,23,228147,0.349,0.0913,F,-15.003,Major,0.0396,0.793,1.61e-06,0.141,0.15,120.405,A Capella,
65rrpuOdLUM1aXxS2GjtyY,Part Time Lover,Hyannis Sound,5,206147,0.55,0.721,A#,-4.843,Minor,0.0968,0.491,0.0,0.114,0.722,174.889,A Capella,
4ZGh4eQlCDUuJJOx7t0EZm,More I Can Not Wish You,The Singers Unlimited,8,215104,0.272,0.0498,G#,-19.338,Major,0.032,0.982,4.88e-05,0.205,0.178,83.384,A Capella,
5Zn57fZqYlBAP6uovrEqOz,Since You Asked,The Singers Unlimited,12,177844,0.261,0.0658,A,-19.158,Minor,0.0348,0.985,3.24e-06,0.105,0.0662,77.112,A Capella,
3HljLnSp0qLyUWo4Up4c4q,When I Survey the Wondrous Cross,Glad,8,252400,0.301,0.124,C,-15.03,Major,0.029,0.928,0.0,0.118,0.109,81.598,A Capella,
6VUdwP2f9JZLLzi6ncOuV4,Since You've Been Gone,MC6 A Cappella,18,99973,0.603,0.396,G#,-7.451,Major,0.0665,0.846,0.0,0.0735,0.593,125.115,A Capella,
4kyQBYJA3cNHqrzshP6OFD,Beyond the Sea,The King's Singers,1,230880,0.636,0.0884,F,-19.456,Major,0.0409,0.918,0.0,0.11,0.573,119.801,A Capella,
3zFfH4tfGuVWbjNdNUX9QI,Both Sides Now,The Singers Unlimited,13,182002,0.303,0.118,F,-15.882,Major,0.0539,0.97,1.24e-05,0.12,0.122,72.587,A Capella,
0GJdTnDivBrnShR4nHa7F7,Long Train Runnin',Hyannis Sound,4,180987,0.668,0.769,G,-4.906,Minor,0.0865,0.599,0.0,0.21,0.885,116.913,A Capella,
6iAU2N1jJqY9qUGvBTHtWa,Runaround Sue,MC6 A Cappella,23,159120,0.705,0.57,A#,-7.124,Major,0.0983,0.656,0.0,0.0897,0.652,81.977,A Capella,
3zwoiDPjZP99NrTCOb3jYK,"My Jesus, I Love Thee",Glad,7,211693,0.233,0.0567,F#,-16.531,Minor,0.0295,0.947,0.0,0.102,0.0491,129.014,A Capella,
6SK51QRc3B1S7uzX8zK0Bs,Faithfully,Hyannis Sound,3,250840,0.48,0.38,B,-7.015,Major,0.0262,0.562,0.0,0.0998,0.25,129.88,A Capella,
5bpGtPqFB5yVFTVWxvYY6X,Lost in the Stars,The Singers Unlimited,6,197262,0.32,0.0628,D#,-18.562,Major,0.0335,0.972,3.39e-05,0.11,0.0516,118.643,A Capella,
2Wx1DL84XGOJ70j12lEcr5,Nature Boy,The Singers Unlimited,15,207040,0.241,0.117,G,-18.035,Major,0.0306,0.967,4.26e-06,0.111,0.0676,108.059,A Capella,
5vPd4b35pDqo7Mwe2POO4D,Receive the Glory,Glad,17,198400,0.384,0.172,A#,-9.962,Major,0.0333,0.83,0.0,0.195,0.174,122.06,A Capella,
